episode,reward,loss
366,-0.6,0.9281
367,-9.0,76.65584
368,-15.8,98.95742
369,-5.0,1.0426
370,-26.2,221.4527
371,-3.9,23.50895
372,13.0,34.36912
373,1.2,7.10204
374,11.9,41.89011
375,3.4,3.42872
376,-5.4,5.81446
377,4.1,14.4576
378,-2.2,3.55422
379,-0.7,4.79626
380,-30.0,282.57742
381,-12.4,13.63841
382,7.0,13.52612
383,3.4,2.28395
384,-8.3,0.2231
385,-2.6,3.53722
386,-14.6,42.33646
387,-0.4,4.46542
388,5.0,9.86319
389,-9.2,31.59568
390,-37.2,491.27856
391,-6.8,-0.47389
392,9.9,19.62071
393,11.7,30.63712
394,0.6,0.46871
395,-16.1,26.64931
396,-1.8,-0.04219
397,5.3,11.8004
398,0.7,3.18552
399,8.0,44.38998
400,4.6,6.33792
